 SELECT * FROM visa_data WHERE email LIKE '%.org';
 id  | first_name | last_name  |              email              | gender  | date_of_birth | nationality 
  92 | Liane      | Casale    | lcasale2j@youtube.com          | Non-binary  | 2014-07-04    | Thailand
 102 | Brandyn    | Greger    | bgreger2t@bluehost.com         | Male        | 2019-12-09    | Russia
 105 | Roth       | Cheves    | rcheves2w@cnn.com              | Male        | 2019-09-06    | China
 110 | Mace       | Bemand    | mbemand31@ucoz.ru              | Male        | 2015-11-19    | Palestinian Territory
 117 | Keefer     | Kahler    | kkahler38@cnet.com             | Male        | 2001-02-14    | Greece
 123 | Kata       | Pirkis    | kpirkis3e@zimbio.com           | Female      | 2023-06-01    | China
 129 | Eveline    | Goding    | egoding3k@aboutads.info        | Female      | 2021-05-14    | United States
 133 | Gabriellia | Sayers    | gsayers3o@multiply.com         | Female      | 2019-05-05    | Czech Republic
 141 | Eileen     | Leftly    | eleftly3w@vkontakte.ru         | Female      | 2016-11-07    | Brazil
 142 | Bronny     | Mungin    | bmungin3x@exblog.jp            | Male        | 2015-08-05    | France
 143 | Sibella    | Minget    | sminget3y@naver.com            | Female      | 2016-03-14    | Portugal
 147 | Chiarra    | Severy    | csevery42@illinois.edu         | Female      | 2001-05-31    | Iran
 150 | Silvana    | Fraulo    | sfraulo45@indiegogo.com        | Female      | 2017-03-25    | Morocco
 152 | Myrtice    | Fryatt    | mfryatt47@deviantart.com       | Female      | 2014-01-08    | Brazil
 165 | Dacey      | Maffia    | dmaffia4k@army.mil             | Female      | 2026-02-18    | Indonesia
 166 | Jeanne     | Vosper    | jvosper4l@multiply.com         | Female      | 2000-06-17    | Brazil
 167 | Karim      | Dautry    | kdautry4m@dailymotion.com      | Male        | 2017-05-21    | Portugal
 176 | Willyt     | Flower    | wflower4v@feedburner.com       | Female      | 2006-01-01    | Malaysia
 177 | Merwyn     | Marney    | mmarney4w@nature.com           | Male        | 2022-06-21    | Germany
 179 | Ellsworth  | Hyrons    | ehyrons4y@pagesperso-orange.fr | Male        | 2014-08-07    | Russia
 189 | Duff       | Luckie    | dluckie58@blogspot.com         | Male        | 2011-05-06    | Russia
 190 | Pietra     | Poizer    | ppoizer59@hubpages.com         | Female      | 2014-12-20    | Brazil
 194 | Douglass   | Marcus    | dmarcus5d@earthlink.net        | Male        | 2024-10-19    | Portugal
 196 | Catlin     | Hankey    | chankey5f@1und1.de             | Female      | 2006-02-04    | Nigeria
 203 | Kleon      | Casely    | kcasely5m@altervista.org       | Male        | 2018-01-03    | Russia
 204 | Loretta    | Vinall    | lvinall5n@soup.io              | Polygender  | 2011-05-05    | Ecuador
 224 | Regine     | Atkirk    | ratkirk67@macromedia.com       | Female      | 2000-12-13    | France
 227 | Ellissa    | Bygott    | ebygott6a@nytimes.com          | Female      | 2008-05-13    | Uganda
 231 | Waldon     | Defont    | wdefont6e@unesco.org           | Male        | 2009-08-06    | China
 233 | Jermaine   | McGahy    | jmcgahy6g@weibo.com            | Female      | 2006-04-28    | Philippines
 235 | Caren      | Lorent    | clorent6i@dailymotion.com      | Female      | 2004-10-17    | Russia
 238 | Gerald     | Simony    | gsimony6l@alibaba.com          | Polygender  | 2006-09-03    | Poland
 239 | Chicky     | Barkes    | cbarkes6m@google.de            | Male        | 2016-12-13    | Bhutan
 240 | Berty      | Heugel    | bheugel6n@freewebs.com         | Male        | 2012-12-04    | Indonesia
 241 | Ora        | Sollon    | osollon6o@shutterfly.com       | Female      | 2009-07-02    | Poland
 245 | Pavel      | Wybern    | pwybern6s@skype.com            | Male        | 2025-10-07    | Martinique
 258 | Sal        | O'Ruane   | soruane75@ow.ly                | Female      | 2023-04-04    | Latvia
 263 | Allie      | Owlner    | aowlner7a@mediafire.com        | Female      | 2021-11-03    | Japan
 265 | Cecily     | Bendle    | cbendle7c@ed.gov               | Female      | 2007-11-07    | Indonesia
 280 | Mile       | Crudge    | mcrudge7r@imdb.com             | Male        | 2012-09-25    | Cuba
 282 | Wilmer     | Tappor    | wtappor7t@google.fr            | Male        | 2024-01-03    | Thailand
 283 | Nelly      | Kippie    | nkippie7u@ocn.ne.jp            | Female      | 2001-07-12    | France
 285 | Portie     | Jirick    | pjirick7w@oracle.com           | Male        | 2020-06-27    | Philippines
 287 | Arabelle   | Uttley    | auttley7y@answers.com          | Female      | 2005-06-11    | Philippines
 288 | Laure      | Alcock    | lalcock7z@paginegialle.it      | Female      | 2021-03-05    | China
 297 | Sile       | Harler    | sharler88@yellowpages.com      | Female      | 2024-08-15    | Dominican Republic
(63 rows)

